(10) rounds of ammunition,Bullets,"(Diez) balas, (diez) disparos",
Federal witness protection program,,Programa federal de protecci—n de testigos.,
Fee,,"Costa, suma, cantidad.",
Felony,,banquillo de los acusados.,
Fellow,,Miembro.,
Female,,"FŽmina, mujer.",
Fender,,"Guardabarro, salpicadera.",
FID,First instance jury delinquent.,,
FID card,Firearms identification card.,Tarjeta de identificaci—n para portar armas de fuego.,
Fiduciary,,Fiduciario.,
Field sobriety test,,Prueba de sobriedad en el sitio/lugar.,
File,,Presentar la querella,
File appearance,,"Registrar comparecencia, constancia de participaci—n en el proceso (de parte del abogado), constancia de que representa al acusado.",
File surrender,,Archivar la orden de comparecencia a solicitud de Probaci—n.,
Filed suit against,,Interpuso demanda en contra.,
Findings of fact,,Determinaci—n de cuestiones de hecho.,
Findings of law,,Determinaci—n de cuestiones de derecho.,
Finger to nose,,Tocar la nariz con el dedo.,
Fire setter,,Incendiario.,
First appearance in trial session,,Primera comparecencia en sesi—n penal.,
First appearance notice,,Aviso de comparecencia inicial.,
"Fisicas, personas",,Natural persons.,
FIY,First instance jury youthful.,,
Flight risk,,Riesgo de darse a la fuga.,
"Fly zone, no",,Zona restringida al vuelo.,
"Food and Drug Administration, The",,Administraci—n de Alimentos y Medicamentos.,
Food pantry,,Centro de alimentos gratis.,
Food stamps,,Cupones de alimento.,
Foreclosure,,Ejecuci—n hipotecaria.,
Forfeit,,"Perder el derecho a, ser confiscado.",
Forgery,,Falsificaci—n.,
Forthcoming,,"(open, helpful) comunicativo, cooperativo, cooperador.",
Forthwith,,"Inmediatamente, sin dilaci—n, sin tardanza.",
Fortune,,"(Fate) trayectoria, peripecia, buenaventura;
(Destiny) destino; (Luck) suerte, fortuna.",
Foster home,,"Hogar de acogida, hogar de ni–os exp—sitos.",
Foul play,,"Estafa, crimen.",
Frantic,,1) Desesperado.  2) FrenŽtico.,
Free ride,,De gratis?,
Freebase,,"Fumar crack, fumar pasta base.",
"Frontier, to cross the",To cross a region at the end of a settled area.,"Atravesar las tierras v’rgenes, no habitadas.",
Fucking cunt,,Hija de puta de mierda.,
Fuel injector,,Inyector de combustible.,
Fugitive from justice.,,Pr—fugo de la justicia.,
Fumble,,"Buscar a tientas, revolver, hurgar.",
Fund,,Financiar.,
Further pretrial hearing,,Audiencia previa adicional.,
GAL,Guardian at litem.  Person appointed by the court entrusted with the powers to initiate legal proceeding on behalf of a minor or an incompetent adult to safeguard their interest and represent them in law suits and legal formalities.,"Tutor judicial temporal, tutor at litem.",
Garnishment of income,,"Embargo de salario, retenci—n o deducci—n de salario (por orden judicial).",
Gasket,,"Junta mŽcanica,Êjunta de estanqueidadÊoÊempaquetadura.",
Gavel,,"Mazo, martillo.",
General continuance,,Aplazamiento general.,
Glassy eyes,,Ojos vidriosos.,
"God, so help you",,Con el amparo de Dios.,
Golpe en la cabeza,,"Hit on the head, bang on the head.",
Good character,,Solvencia moral.,
Government printing office,,Imprenta oficial del Estado.,
Grand Jury,,"Gran jurado, jurado de acusaci—n.",
Grant,,Subsidio.,
Grantor,,"Donante, concedente.",
Grievance,,Queja.,
Groin,,"Ingle, entrepierna.",
Grounds for divorce,,Causales de divorcio.,
1) Irretrievable breakdown,,Diferencias irreconciliables.,
2) Cruel and abusive treatment,,Trato cruel y grosero.,
3) Adultery,,Adulterio.,
4) Impotency,,Impotencia.,
5) Utter desertion,,Abandono total.,
"6) Sentence of confinement in a 
    penal institution",,Sentencia de reclusi—n en una penitenciar’a.,
"7) Gross and confirmed habits of intoxication caused by voluntary and excessive use of intoxicating liquor, opium or other drugs",,"H‡bitos flagrantes y empedernidos causados por el uso voluntario y excesivo de bebidas alcoh—licas, opio u otras drogas.",
8) Gross or wanton and cruel refusal or neglect to provide suitable support and maintenance for the other spouse,,Rechazo flagrante o displicente y cruel o incumplimiento de proveer al c—nyugue de su sostŽn adecuado y manutenci—n.,
Guardian,,Tutor(a).,
Guardianship,,"Patria potestad, tutela, custodia.",
Guarante,,Warrant.,
Guarantor,,Garante.  Fiador.,
Guero,,"(MŽx. Fam.) Blond, fair-haired.  Whitey.",
Guidance,,"Orientaci—n, consejo.",
Guidance counselor,,Orientador(a) vocacional.,
Guideline,,"Directriz, pauta.",
Guilty probation,,Libertad a prueba con fallo de culpabilidad.,
Gutter,,"(On roof) canaleta, (in street) alcantarilla, cloaca.",
Habe,,,
Habitual traffic offender  (HTO),,Infractor habitual de tr‡nsito.,
Halfway house,Instituci—n que sirve para ayudar a las personas marginadas a reintegrarse a la sociedad.,Centro de reinserci—n social. ,
Hang in there,,"Sigue adelante, persevera.",
Harassment prevention order,,Orden contra el hostigamiento/acoso.,
Hashish,,Hach’s.,
Hasten,,"Apresurarse, acelerar, adelantar.",
Hazing,"Forced to perform strenuous, humiliating or dangerous tasks.",Someter a ritos de iniciaci—n.,
Head honcho,"The boss, the main dude",El mero mero.,
Headgear,,1) Prenda de cabeza.  2) Cabezada (arnŽs).,
Heading,,Ep’grafe.,
Headmaster (at school),,Director de un colegio.,
Hearing,,Audiencia.,
"Hearing, default removal",,Audiencia para la remoci—n/eliminaci—n del incumplimiento/desacato.,
"Hearing, final surrender",,Audiencia final con Probaci—n ante el Juez.,
"Hearing, motion",,Audiencia peticionaria.,
Hearing on the merits,Kind of a mini trial where a case is decided right there.  They don't call it ÒtrialÓ because it is not criminal but CHINS or C&P.,Audiencia acerca de la custi—n fundamental de una causa.,
"Hearing, pretrial",,Audiencia preliminar/previa al juicio.,
"Hearing, probable cause","To determine (in district court) if there is enough evidence to indict someone to superior court.  These hearings rarely happen, either because the indictment might have happened before the scheduled probable cause date or because the superior court charge got dropped.
Audiencia destinada a determinar, en una causa penal, si existen elementos suficientes que justifiquen llevar adelante una acci—n que se inicia.",Audiencia/vista de causa probable.,
"Hearing, restitution assessment",,Audiencia para determinar el monto de la restituci—n.,
"Hearing, show cause",Hearing at a clerk magistrate's office to determine if there is enough evidence/reason to start a case.,Audiencia/vista de fundamentaci—n jur’dica.,
Hearse,,"Coche fœnebre, carroza fœnebre.",
Heart stress,,"Tensi—n al coraz—n, prueba de esfuerzo al coraz—n.",
Heart stroke,,"Ataque al coraz—n, infarto.",
Heat register,,Rejilla (de calefacci—n)??,
Heavy-set,,"Musculoso, corpulento, fornido, grande.",
Heel-to-toe walk,,Caminar con el tal—n tocando la punta del pie.,
Heightened with evidence,,Se esclareci— con las pruebas.  Qued— m‡s claro a travŽs de las pruebas.,
Helpful,,"1) Servicial, amable.  2) òtil, eficaz, pr‡ctico.",
"Hereby, it is",,"Por esto, por la presente.",
Herein,,Aqu’.,
Hereof,,"Del presente documento, de eso mismo, perteneciente al, a lo mismo.",
High profile case,,Caso de gran revuelo/interŽs/conmoci—n.,
Hincho,,"Pretty plastered, wasted, loaded.",
Hit and run,,Chocar y darse a la fuga.,
Ho,"Prostitute, whore, hooker, tramp, slut","Prostituta, puta, meretriz.",
"Holy God, my",,Dios m’o sant’simo.,
Honky,,(American english slang and pejorative) blanco.,
Honor (the case),,"Cumplir con, aceptar, pagar, satisfacer.",
Hopefully,,Con la esperanza.,
Hotline,,L’nea directa.,
House of Correction,,"Correccional, reformatorio.",
House of Representatives,,C‡mara de diputados/representantes.,
Housing Authority,,Departamento de vivienda.,
Housing court,Tribunales con competencia en cuestiones de vivienda y edificaci—n.,,
Hub cap,,"Tapacubos, taza.",
Human smuggling,Victim willing to pay someone (coyote) to cross the border.,Contrabando de extranjeros.,
Human trafficking,Victim pays and then is held against his/her will.,Tr‡fico de extranjeros.,
Hunch,,"Corazonada, presentimiento, p‡lpito.",
Hung jury,Deadlocked jury.,"Jurado en desacuerdo (en cuanto al veredicto), dividido, con opiniones encontradas, sin veredicto.",
If anything,,Si acaso.,
Ignition,,"Encendido, ignici—n, arranque.",
Ill advised,You would be ill-advised to go (No ser’a aconsejable que fueras).,Desacertado.,
Iluso,,"Naive.  No seas tan iluso (Don't kid yourself, you've got a hope).",
Imbibe,,"(To drink) beber, (to absorb) embeber, (to become absorbed in) embeberse de o en, beber, empinar el codo.",
Implied consent law,,Ley de consentimiento impl’cito.,
"Importa madre, no me",,I don't give a damn.,
Impound,,"Incautar, embargar, confiscar.",
Impugn,,"Cuestionar, contradecir.",
Impugnaci—n,Interposici—n de un recurso contra una resoluci—n judicial.,"Refutation, challenge, contestation.",
Imputado,"(responsabilidad) Atribuido a, ","Attributed to, imputed to, of which she/he is accused.",
In place,,,
Incarcerate,,Encarcelar.,
Incidentals,,Imprevistos.,
Incriminating,,Incriminatorio.,
Indebtedness,,Adeudo.,
Indecent assault and battery,,"Abusos deshonestos, abusos sexuales.",
Indecent exposure,,Exhibicionismo.,
Indicia,,Indicios.,
Indictment,Procesamientos hechos por el gran jurado a petici—n del fiscal.,"Acusaci—n formal del gran jurado, procesamiento, pliego de cargos, pliego acusatorio, auto de acusaci—n (para acusar formalmente a alguien).",
Indignant,,Indignada.,
Infirmity,,"Dolencia, padecimiento, achaque.",
Injunction,,"Mandamiento judicial (para prohibir algo), interdicto.  Auto cautelar.",
Injunctive relief,,Medidas cautelares.,
Injury,,"Da–o, herida.",
Innkeeper,,Posadero.,
Inpatient,,Paciente hospitalizado.,
Inquest,"Judicial inquiry to ascertain the facts relating to, esp. a death.","Investigaci—n, pesquisa, indagaci—n.",
Insider trading,,Contrataci—n con informaci—n privilegiada.,
Insightful,,Perspicaz.,
Insofar,,En la medida en que.,
Instruct,,Instruir (sobre ciertos aspectos legales).,
Intake desk,,Mostrador de admisiones/entrevistas (iniciales).,
"Intent and purposes, for all",,"A efectos pr‡cticos, en realidad, en efecto, pr‡cticamente.",
Internal Revenue code,,C—digo tributario.,
Interpelar,,"To question somebody about/on something, ask somebody for clarification.",
Interstate Commerce Commision,,Comisi—n del Comercio Interestatal.,
Intoxicar,"Infectar con t—xico, envenenar.",To get food poisoning.,
Intoxicating liquour,,Bebida embriagante.,
Intoxication,,"(By alcohol) embriaguez, (poisoning) intoxicaci—n.",
Inusitado,"No usado, desacostumbrado.","Unusual, rare, uncommon.",
Invoke someone's fifth,Someone won't testify.,Alguien no testificar‡/prestar‡ declaraci—n/declarar‡.,
Irritable bowel syndrome,,S’ndrome de colon irritable.,
IRS,,Agencia tributaria.,
Issue of material fact,,Hecho cuya determinaci—n incide sobre la decisi—n de un juicio.,
Itemized,,Detallada.,
Jail,,C‡rcel.,
Jailable,,Encarcelable.,
Jake brake,"A parallel brake system in trucks, usually very loud.",Freno ÒJakeÓ.,
Jerk,,"Estœpido, pendejo, despreciable, deleznable.",
Jerking,,Bruscamente.,
Joder,,"To screw up, to fuck up.",
Judge shopping,,En busca de un juez que dŽ la pena sugerida por el abogado defensor.,
Judgment,Court's final determination of the rights and obligations of the parties in a case.,"Fallo, sentencia, adjudicaci—n, decisi—n, decreto, determinaci—n.",
Juggernaut,"Superlativo Ð huge, powerful, overwhelming force or institution.",Gigante.,
"Jur’dicas, personas",,Artificial persons.,
Jurisdiction,,Jurisdicci—n.  Competencia.,
Jury commissioner's office,,Oficina del encargado de jurados.,
Jury duty,,Servicio de jurado obligatorio.,
Jury is empaneled,,Se constituye el jurado.,
Jury status,,Escogencia del tipo de juicio.,
Jury status date,,Cita para determinar si va a juicio por jurado.,
Jus sanguinis,[Latin Òright of bloodÓ] The rule that a child's citizenship is determined by the parents' citizenship.  Most nations follow this rule.,Jus sanguinis.,
Jus soli,"[Latin Òright of the soilÓ] The rule that a child's citizenship is determined by place of birth. This is the U.S. Rule, as affirmed by the 14th. amendment to the Constitution.",Jus soli.,
Keep someone's act together,"To control herself/himself, to calm down.  To keep doing well.","Controlarse, calmarse.  Seguir haciŽndolo bien.",
"Kilter, to be out of",,"Estar estropeado, desbaratar.",
Knowledge,,"Saber, conocimiento.",
"Knowledge and belief, to the best of my",,A mi leal saber y entender. Lo mejor que usted sepa.,
Known fingerprint,,Huella dactilar indubitada.,
Knucklehead,,Cabeza de chorlito.,
Laceration,"Lastimar, golpear, magullar, herir.","Laceraci—n, desgarro.",
Lack of criminal responsibility defense,,Defensa por falta de culpabilidad.,
Land court,"Tribunal competente en cuestiones inmobiliarias, particularmente las referidas a los registros.","Tribunal de asuntos inmobiliarios,",
Larceny,,Robo.,
"Larceny, petty",,Hurto.,
Larceny over $250 by single scheme,"Single scheme:  single, continuing intent (to steal).  That even though time elapsed between incidents, they were not separately motivated but were part of one general scheme or plan to steal.",Robo de m‡s de $250 a travŽs de un plan general.,
Law enforcement,,"Fuerzas del orden pœblico, cumplimiento de la ley.",
"Law, matter of",,Cuesti—n de derecho.,
Lawlessness,,"Desafuero, desobediencia, ilegalidad, desorden.",
Leading question,,"Pregunta sugestiva, que insinœa.",
"Leading the witness, Counsel is",,El letrado est‡ insinu‡ndole la respuesta al testigo.,
Learn,,"Enterarse, saber de algo.",
Leeway,,"Libertad de acci—n, margen, margen de flexibilidad.",
Legal competency,,Capacidad legal?,
Lest,,"(to prevent) no sea que; hide, lest they discover you Ð esc—ndete, no vaya a ser que te descubran.  (in case)  lest he be a spy Ð por si acaso fuera un esp’a.",
Letter of apology,,"Carta de disculpas, carta pidiendo disculpas.",
Levy of execution or seizure,,Embargo de bienes.,
Liaison,,"Contacto, enlace, coordinaci—n.",
Licitaci—n,,Tender.,
Lien,,"Gravamen, derecho de retenci—n, embargar algo.  Derecho prendario, embargo preventivo.",
Lieutenant,,"Sustituto, delegado.",
"Light of, in",,"A la luz de, en vista de.",
Likely,,Probable.,
Limited release (of information),,Autorizaci—n limitada para divulgar (info.).,
Litigation,,Litigio.,
"Llave a la puerta, echar",,To lock the door.,
"Lineup, police",,Identificacion o reconocimiento de sospechosos.,
Loading duck,,Zona o ‡rea de carga.,
Lobby,,"Cabildear, ejercer presi—n sobre, presionar.",
Lobby conference,,Consulta con el juez.,
Lock up,,"Calabozo, celda.",
Loiter,To hang around.,"Perder el tiempo, holgazanear, merodear.",
Loops (in fingerprints),,"Lazos, presillas.",
"Loops, double",,Lazos dobles.,
Lovely,,"Encantador(a), amoros(a).",
Madrear,,(MŽx. Fam.)  to beat up.,
"Madres, echar",Despotricar.,To cuss out.,
Mailing address,,Direcci—n de correspondencia.,
Malicious,,"Malintencionado, intencional.",
Marked lane violation,,Infracci—n de carriles.,
Marriage waiver,,Afirmaci—n del privilegio conyugal.,
Marshall,,Alguacil federal.,
Masonry,,"Alba–iler’a, mamposter’a, masoner’a, francmasoner’a.",
Mass. Acts and Resolves,,Actas y Resoluciones de Massachusetts.,
Mass. Health,,"Beneficio pœblico de salud ÒMass. HealthÓ, seguro ÒMass. HealthÓ.",
Material fact,A fact that is significant or essential to the issue or matter at hand.,Hecho sustancial/esencial.,
Matter is dismissed prior to arraignment,,"El caso se desestima previo a la lectura de cargos, no saldr‡ nada en el expediente.",
Matter under advisement,,"El/la juez(a) anunciar‡ el resultado del caso en otro momento, el/la juez(a) estudiar‡ el caso.",
Mayhem,,Mutilacion.,
Mayordomo,,"(Criado ppal.) Butler, (capataz) steward, foreman.",
Medical malpractice,,Errores mŽdicos.,
Memorabilia,,Objetos de interŽs.,
Memorandum,,"Memorandum, nota, memo.",
Mens rea,,Culpabilidad.,
Mentecato,,"(bobo) fool, (alocado) lunatic.",
"Mentiras?, pa' quŽ echar",,Why should I make something up?,
Mequetrefe,"Que no sirve para nada, inœtil.",Good-for-nothing.,
"Merits, trial on the","A trial on the substantive issues of a case, as opposed to a motion hearing or interlocutory matter.", Juicio sobre las cuestiones fundamentales de una causa.                                                                    ,
Merits of the case,,Fondo o base jur’dica sustantiva de la causa.,
Misdemeanor,,Delito menor.,
Misleading,,"Enga–oso, que induce a error, que puede ser malinterpretado.",
Misnomer,,"Poco apropiado, inexacto.",
Mistrial,,"Juicio no v‡lido, inv‡lido, sin lugar?",
Mittimus,1) The order directing an officer to take a person to a penal or mental institution. 2) Certified transcript of a prisoner's conviction or sentencing proceedings.,"Orden de detenci—n, auto de prisi—n.",
Mofa (Hacer mofa de),Burla,Mockery (To make fun of).,
Money market,,Mercado monetario.,
Money order,,"Orden de pago, giro postal.",
Moral turpitude,"Conduct that is contrary to justice, honesty, or morality.  Also termed moral depravity.","Infamia, bajeza moral, comportamiento vil o degenerado.",
Mors civilis,Civil death.,Muerte civil.,
Mortgage loan,,CrŽdito hipotecario.,
Mortgagor,,Deudor.,
Motion,,Petici—n/solicitud.,
"Motion, entertain your",,Considerar su petici—n.,
"Motion, non-evidential",,Petici—n/asunto que no tiene que ver con las pruebas.,
Motion for accord and satisfaction,,"Petici—n para arreglo de una disputa, petici—n para aceptaci—n como finiquito.",
Motion for directed verdict,,Veredicto por instruccion judicial.,
Motion for discovery,,Petici—n para el intercambio/ presentaci—n/revelaci—n de pruebas.,
Motion for funds,,Petici—n para fondos.,
Motion for required finding of not guilty,"Judge ultimately decides outcome of trial.  Jury declared him guilty.  However, there wasn't enough evidence, so Judge ruled not guilty.",Petici—n para un fallo de no culpable.,
Motion in limine.,To ask a judge for a pretrial order that evidence a prosecutor intends to offer at trial is inadmissible.,Petici—n 'in limine'.,
Motion to compel (discovery),A party's request that the court force the party's opponent to respond to the party's discovery request (as to answer interrogatories or produce documents).,Petici—n para forzar la revelaci—n de documentos/pruebas.,
Motion to issue execution.,,Solicitud para que se apruebe la ejecuci—n.,
Motion to preserve the evidence,,Petici—n para conservar las pruebas.,
Mueble,Sof‡.,,
Mula,,"Mule, courier.",
Mumble,,"Farfullar, mascullar, hablar entre dientes.",
Myocardial infarction,,Infarto del miocardio.,
"Narrative, giving a",,Se est‡ extendiendo en su declaraci—n.  Dando un relato.,
National Insurance Crime Bureau,,Oficina nacional de cr’menes de seguros.,
"National Labor Relations Board, The",,Junta Nacional de Relaciones Laborales.,
Naturalization,The granting of citizenship to a foreign-born person under statutory authority.,Naturalizaci—n.,
NG,Not guilty.,No culpable.,
Nice,,Amable.,
No le hace,,It doesn't matter.,
Nolo contendere,,"No disputar, ni afirmo ni niego.",
Nolle prosequi,,"Abandono de la acusaci—n/proceso (penal) o demanda (civil), desistimiento de la acci—n penal.",
Nom‡s,"No m‡s.  En oraciones exhortativas, generalmente pospuesto, para a–adir Žnfasis a la expresi—n.  Apenas, precisamente.","(DŽjelo aqu’ nom‡s) Just leave it here,  (Aqu’ nom‡s est‡ la puerta) The door is right here, (Lo dijo por molestar nom‡s) She only said it to be difficult.  (Nom‡s que tenga dinero te invito a comer) As soon as I have some money, I will buy you lunch.",
Non-disclosure agreement,,Acuerdo de confidencialidad.,
Nonetheless/nevertheless,,"Sin embargo, no obstante, igual, de todas maneras.",
Notary public,,Notario.,
Note,"Instrument representing the indebtedness of a mortgage loan, not a recordable document.",PagarŽ.,
Notice of recall/cancellation of warrant,,Notificaci—n de la revocaci—n de la orden (de detenci—n).,
Notice of termination tenancy at will,,Aviso del cese de arrendamiento sin plazo fijo.,
Notice to quit,,Carta/preaviso de desalojo.,
Notwithstanding,,"A pesar de, a pesar de que, no obstante, pese a.",
Numbness,,"1) (De los dedos) entumecimiento, adormecimiento.  2) Aturdimiento.",
Nunc pro tunc,"Latin ""now for then"".  Having retroactive legal effect through a court's inherent power.",Nunc pro tunc.,
Nurture,,"Criar, educar, cultivar, nutrir, alimentar.",
"Nystagmus test, horizontal gaze",Nystagmus is the involuntary spasm of the eyeball.,Prueba del seguimiento horizontal para detectar posible nistagmo.  Nistagmo significa no mirar directamente/claramente.,
O.U.I.,Operating under the influence.,"Conducir en estado de embriaguez, manejar borracho, conducir bajo los efectos...",
"Object, Your Honor, I",,"Su Se–or’a, protesto.",
Objection,,Protesta.,
Odio,,"Hatred, odium, abhorrence, hate.",
Offender,,Delincuente.,
"Offender, previous",,Reincidente.,
"Offender, young",,"Menor que ha cometido un delito, transgresor.",
"Office and purpose, they announced their",,Se identificaron y anunciaron su prop—sito.,
Official records,,Actas.,
Oft-quoted maxim,,Refr‡n muy citado.,
Omnibus hearing,,Pre-trial hearing.,
"Onus probandi (Or onus, for short)",Burden of proof,Carga de la prueba.,
Open court,,Plena sala,
Oppositional defiant disorder,,Trastorno de conducta oposicionista y desafiante.,
OR motion,,Petici—n de libertad bajo palabra.,
OR report,,Informe de libertad bajo palabra.,
"Order, to serve/hand the",,Diligenciar una orden (O.C.I.S glossary).,
Ostracize,,"Negarle o dificultarle el trato con los dem‡s, aislarle.",
Outpatient treatment,,Tratamiento ambulatorio??,
"Outset, at the",,Gang gathering.,
Overboard (throw),,"Al agua, al mar.  (desechar, tirar por la borda).",
Overruled,,(Petici—n) Denegada.,
Overturned,,Anulada.,
Own recognizance (OR),,"Libertad bajo palabra, libertad provisional bajo cauci—n juratoria, compromiso personal de comparecencia.",
P.T.D.D,"Probation terminated, defendant is discharged.","Probaci—n termina, acusado sin m‡s obligaciones jur’dicas.",
Pad frisk,,Cacheo palpado.,
Palomilla,,Gang gathering.,
Paperwork reduction act.,,Ley de reducci—n de tr‡mites administrativos.,
Paralegal,,Asistente de abogado.,
Parole,,"Libertad condicional, libertad vigilada, libertad preparatoria (MŽx).",
Part-time,,"Medio tiempo, tiempo parcial.",
Party,,"Parte, particular, c—mplice.",
"Pastilla no me sienta bien, la",,The pill makes me feel badly.,
Patrol,,"Patrullar, estar de patrulla.",
Patrol unit/car,,Patrulla.,
Payroll,,"(list) n—mina, planilla. (De sueldos) plantilla.  (wages) n—mina.",
Payroll tax,,Impuesto sobre las remuneraciones.,
"PC me, They were going to",,PC is slang for personal recognizance.,
Peace officer,,Oficial del orden pœblico.,
Pen/trap order,,Orden de intervenci—n de comunicaciones electr—nicas.,
Pendejo,,Dumbass.,
Per curiam opinion,,Por dictamen suscrito por el tribunal.,
Percipient witness,Witness who has perceived the things about which he or she testifies.,Testigo perspicaz.,
"Perd—n, no tiene",,"It is inexcusable, unforgivable.",
Peremptory,,"Perentorio, de nulidad.",
Perjury,,Perjurio.,
Perpetrator,,Perpetrador.,
Peruse,,"Leer detenidamente; (examine, study) examinar.",
Petitioner,Party asking the court to order a change in the current circumstances.,"Demandante, peticionario, parte actora, peticionante, solicitante.",
Petty racket,,Negociete de poca monta.,
Physical abuse,,Malos tratos.,
Physical evidence,,Prueba f’sica/material?.,
"Pick up, the cassette didn't",,El cassette no recibi—/capt—.,
Picklock,,Ganzœa.,
Pin,,Perno.,
Pintiando con mis camas,,To play hooky with my buddies.,
Placement,,Colocaci—n.,
Plaintiff,Party who files a civil suit.,Demandante.,
"Plaintiffs, representative",,Demandantes representantes.,
Plea,,"Acuerdo declaratorio, alegato, declaraci—n.",
"Plea (bargain), take a",,"Conformarse a contestar culpable, prestar su conformidad con la acusacion/imputacion, conformarse con la pena reducida, conformarse a reconocerse culpable a cambio de una pena en grado inferior, prestar su conformidad con el cargo, prestar su conformidad con la negociacion de la pena, confesarse culpable de conformidad a la pena negociada, conformarse con la calificacion mutuamente aceptada, etc.",
Plea bargaining (or plea agreement or negotiated plea),"Pacto entre el ministro fiscal y la defensa en una causa penal; consiste en que el acusado acepte declararse culpable a cambio de la sustituci—n del delito imputado por otro menos grave, de la retirada de alguno de los cargos, si hay varios, o de la garant’a de una rebaja en la pena impuesta por e l juez; tales negociaciones se llevan a cabo entre el juez, el fiscal y el abogado defensor, y el acusado no puede intervenir directamente en las mismas, aunque no puede haber acuerdo sin su consentimiento; requieren mucho tacto, ya que el juez no puede dar garant’as absolutas ni debe indicar en ningœn momento la pena que tiene pensado aplicar en los distintos casos.","Conformidad del imputado/acusado, conformidad de partes, conformidad, conformidad con la acusacion/imputacion, conformidad para contestar culpable, conformidad con el cargo(s), negociaci—n de la pena, calificacion mutuamente aceptada, calificacion conformada.  Sentencia acordada.",
Plea colloquy,,Conversaci—n en cuanto a la posible contestaci—n.,
"Plea of not guilty will be entered on your behalf, a",,"Por los momentos, se le declarar‡ no culpable en el acta.",
"Pleadings of a file?, are those the",Pleadings:  documents that lawyers file in favor of their clients.,Son Žsos los documentos del expediente?.,
"Please, if the court",,Con el permiso de su Se–or’a.,
"Pleases the court, if it",,Con la venia de su Se–or’a.,
Plodding verbosity,,Pesada verborrea.,
Pocketknife,Folding knife.,Navaja.,
Points and authorities,,Jurisprudencia.,
Police station,,Comisar’a.,
Political correctness,,Correcci—n pol’tica.,
Porch,,"Porche, galer’a.",
Port of entry,,Puesto fronterizo.,
Posit,,"Plantear, postular.",
Post traumatic stress disorder,,Trastorno de estrŽs post traum‡tico.,
Precept,,Precepto.,
Predicate,,(to predicate something on something) basar algo en algo; (to predicate something of something/somebody) atribuirle algo a algo/alguien.,
Prejudice(d),,Prejuicio.  Predisponer.  Prejuiciado.,
Preliminary default,,"Incomparecencia preliminar/temporal (Si no llega, se le declarar‡ en incomparecencia).",
Preponderance of the evidence,Also called:  proof on the balance of probabilities.,"Preponderancia de la prueba, por mayor’a de pruebas.  TambiŽn:  prueba segœn un criterio probabil’stico o de acuerdo con un c‡lculo de la mayor probabilidad.",
Preposterous,,"Absurdo, rid’culo.",
Prescription glasses,,"Lentes, anteojos.",
Presentment,,Procesamiento de un gran jurado a iniciativa propia.,
Preserve the status quo,,Mantener el status quo.,
Press charges against,,"Acusar formalmente, presentar/formular cargos en contra de...",
Presumption,,"Suposici—n, presunci—n.",
Pretax,,"Bruto, antes de impuestos.",
Pretextual arrest,An arrest of a person for a minor offense to create the opportunity to investigate the person's involvement in a more serious offense for which there is no lawful ground to make an arrest.,,
Pretrial probation (PTP),The probationary status of a defendant after a probation order issued before a trial or a plea of guilty or an admission to sufficient facts.,En per’odo de probaci—n previa resoluci—n del caso.,
Pretrial probation as disposition until,"Si todo sale bien durante el per’odo de probaci—n, el caso se desestimar‡.",La resoluci—n fue per’odo de probaci—n previo al juicio hasta.  ,
Prima facie,Latin for Òat first sightÓ.  The evidence for each element.  Failure to put on some evidence for each element is the same as failure to establish a prima facie.,"Prima facie.  A primera vista, tras un primer examen.",
Prima facie case,Those facts that establish a party's right to relief if no evidence to the contrary is offered by the party's opponent.,Caso prima facie.,
"Prima facie case, establish a",,Establecer una argumentacion de peso suficiente.,
Prima facie evidence,Evidence that is sufficient to prove a fact unless overcome by other evidence.,Prueba prima facie.,
"Prison, state",,"Prisi—n, c‡rcel del estado.",
Pro forma,,(agreement/compliance) meramente formal.  (pro forma invoice) factura pro forma.,
Probable cause,Reasonable cause.,"Causa probable, motivo fundado/veros’mil, causa razonable, indicios razonables/racionales.",
Probate court,,Tribunal de familia y asuntos sucesorios.  Tribunal testamentario y de familia.,
Probation,,Probaci—n.,
Probation officer,,"Funcionario de probaci—n, oficial de probaci—n.",
Probation surrender,,Comparecencia a solicitud de Probaci—n.,
Probation violation hearing,,"Audiencia por violaci—n de la probaci—n, audiencia con Probaci—n ante el/la Juez(a).",
Procedencia,,Legitimacy.,
Procedural,,Procesal.,
"Proceed?, are the People ready to",,Est‡ el Estado listo para proceder?,
Proceeding,,Actuaci—n.,
Procure,,"Obtener, conseguir, procurar.",
Produce center,,Mercado.,
Prosecute,,"Someter a juicio, interponer/iniciar acciones judiciales, encausar, enjuiciar, entablar juicio.",
Prosecution,,"Parte acusadora, fiscal’a, fiscal, procuradur’a, procurador(a).",
Prosecutor,,"Fiscal, procurador, persecutor.",
Prospectus,,Prospecto.,
Protest,,Manifestaci—n de protesta.,
Provide,,"Abastecer, contar con, proporcionar, facilitar, ofrecer, proveer, suministrar.",
Provisions of the bylaws,,Provisiones/disposiciones de los reglamentos/estatutos.,
Public land records,,Registro pœblico de la propiedad.,
Punch,,Dar un pu–etazo.,
Purse snatching,,Carterismo.,
Pursue,,Perseguir.,
Quash,,Anular.,
R.O.R.,,See Òown recognizanceÓ (OR).,
Racha de mala suerte,,"Spell/run of bad luck.  (Mala racha) bad times.  (Racha) series, strings, streak.",
Ram the car into the other car,,"Estrellar el carro contra el otro, chocar con el otro carro.",
